Version,Power (hp),Consumption (l/100 km),Interior,Location,Registration city,Number of doors,Assembly,Source,Model,Body Type,Car documents,Title,Number of seats,Number of Owners,Price,URL,Color,Air Conditioning,Make
2021,,,,"Garden Town - Ahmed Block, Lahore",Islamabad,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2021 2021,5,1,"Rs 6,500,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2021-2021-iid-1095150533,Black,,Honda
honda City Auto 1.3 bumper to bumper geniune Minor screches,,,,"Garden Town - Ahmed Block, Lahore",Lahore,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2021,5,1,"Rs 3,950,000",https://www.olx.com.pk/item/honda-city-ivtec-2021-iid-1094862303,White,,Honda
honda City Auto 1.3 bumper to bumper geniune Minor screches,,,,"Garden Town - Ahmed Block, Lahore",Lahore,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2021,5,1,"Rs 3,950,000",https://www.olx.com.pk/item/honda-city-ivtec-2021-iid-1094862303,White,,Honda
,,,,"Rehmanpura (Harbanspura), Lahore",Lahore,,Local,,Wagon R,Small city car,Original,Suzuki Wagon R 2018,5,,"Rs 2,150,000",https://www.olx.com.pk/item/suzuki-wagon-r-2018-iid-1095204702,Grey,,Suzuki
,,,,"Rehmanpura (Harbanspura), Lahore",Lahore,,Local,,Wagon R,Small city car,Original,Suzuki Wagon R 2018,5,,"Rs 2,150,000",https://www.olx.com.pk/item/suzuki-wagon-r-2018-iid-1095204702,Grey,,Suzuki
2014,,,,"New Garden Town, Lahore",Lahore,,Local,,Civic Prosmetic,Sedan,Original,Honda Civic Prosmetic 2014,4,2,"Rs 3,600,000",https://www.olx.com.pk/item/honda-civic-prosmetic-2014-iid-1095186270,White,,Honda
2014,,,,"New Garden Town, Lahore",Lahore,,Local,,Civic Prosmetic,Sedan,Original,Honda Civic Prosmetic 2014,4,2,"Rs 3,600,000",https://www.olx.com.pk/item/honda-civic-prosmetic-2014-iid-1095186270,White,,Honda
VXR,,,,"New Muslim Town, Lahore",Punjab,,Local,,Alto,Small city car,Original,Suzuki Alto 2022,4,1,"Rs 2,485,000",https://www.olx.com.pk/item/suzuki-alto-2022-iid-1095325307,Grey,,Suzuki
VXR,,,,"New Muslim Town, Lahore",Punjab,,Local,,Alto,Small city car,Original,Suzuki Alto 2022,4,1,"Rs 2,485,000",https://www.olx.com.pk/item/suzuki-alto-2022-iid-1095325307,Grey,,Suzuki
,,,,"Shuja Road, Lahore",Lahore,,Imported,,Corolla Axio,Sedan,Original,Toyota Corolla Axio 2007,5,3,"Rs 2,680,000",https://www.olx.com.pk/item/toyota-corolla-axio-2007-iid-1095299367,Silver,,Toyota
,,,,"Shuja Road, Lahore",Lahore,,Imported,,Corolla Axio,Sedan,Original,Toyota Corolla Axio 2007,5,3,"Rs 2,680,000",https://www.olx.com.pk/item/toyota-corolla-axio-2007-iid-1095299367,Silver,,Toyota
1.6 black,,,,"Muslim Town, Lahore",,,Local,,Corolla Altis,Sedan,Original,Toyota Corolla Altis 2018 1.6 black,5,,"Rs 4,500,000",https://www.olx.com.pk/item/toyota-corolla-altis-2018-16-black-iid-1095187974,Black,,Toyota
1.6 black,,,,"Muslim Town, Lahore",,,Local,,Corolla Altis,Sedan,Original,Toyota Corolla Altis 2018 1.6 black,5,,"Rs 4,500,000",https://www.olx.com.pk/item/toyota-corolla-altis-2018-16-black-iid-1095187974,Black,,Toyota
wagon r fa,,,,"Garden Town, Lahore",Unregistered,,Imported,,Wagon R,Hatchback,Original,Suzuki Wagon R fa 2023 import bumper to bumper genuine,5,1,"Rs 3,250,000",https://www.olx.com.pk/item/suzuki-wagon-r-2021-iid-1095025681,Silver,,Suzuki
wagon r fa,,,,"Garden Town, Lahore",Unregistered,,Imported,,Wagon R,Hatchback,Original,Suzuki Wagon R fa 2023 import bumper to bumper genuine,5,1,"Rs 3,250,000",https://www.olx.com.pk/item/suzuki-wagon-r-2021-iid-1095025681,Silver,,Suzuki
thailand 3000cc,,,,"New Garden Town, Lahore",Islamabad,,Imported,,Hilux,Pickup,Original,Toyota Hilux 2007/2011 Thailand,4,,"Rs 4,875,000",https://www.olx.com.pk/item/toyota-hilux-20072011-iid-1092966622,Silver,,Toyota
thailand 3000cc,,,,"New Garden Town, Lahore",Islamabad,,Imported,,Hilux,Pickup,Original,Toyota Hilux 2007/2011 Thailand,4,,"Rs 4,875,000",https://www.olx.com.pk/item/toyota-hilux-20072011-iid-1092966622,Silver,,Toyota
2006,,,,"Muslim Town, Lahore",Lahore,,Imported,,Life,Hatchback,Original,Honda Life 2011,4,2,"Rs 1,560,000",https://www.olx.com.pk/item/honda-life-2011-iid-1095037127,Silver,,Honda
2006,,,,"Muslim Town, Lahore",Lahore,,Imported,,Life,Hatchback,Original,Honda Life 2011,4,2,"Rs 1,560,000",https://www.olx.com.pk/item/honda-life-2011-iid-1095037127,Silver,,Honda
2015,,,,"Muslim Town, Lahore",Lahore,,Imported,,Dayz,Hatchback,Original,Nissan Dayz 2015,5,,"Rs 2,250,000",https://www.olx.com.pk/item/nissan-dayz-2015-iid-1094025171,Silver,,Nissan
2015,,,,"Muslim Town, Lahore",Lahore,,Imported,,Dayz,Hatchback,Original,Nissan Dayz 2015,5,,"Rs 2,250,000",https://www.olx.com.pk/item/nissan-dayz-2015-iid-1094025171,Silver,,Nissan
2009,,,,"Wahdat Colony, Lahore",Lahore,,Local,,Mehran VX,Other,Original,Suzuki Mehran VX 2009,4,2,"Rs 730,000",https://www.olx.com.pk/item/suzuki-mehran-vx-2009-iid-1095433238,Blue,,Suzuki
2009,,,,"Wahdat Colony, Lahore",Lahore,,Local,,Mehran VX,Other,Original,Suzuki Mehran VX 2009,4,2,"Rs 730,000",https://www.olx.com.pk/item/suzuki-mehran-vx-2009-iid-1095433238,Blue,,Suzuki
EFI,,,,"New Muslim Town, Lahore",Lahore,,Local,,Cultus VXR,Other,Original,Suzuki Cultus VXR 2011,4,2,"Rs 1,275,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2011-iid-1095420971,White,,Suzuki
EFI,,,,"New Muslim Town, Lahore",Lahore,,Local,,Cultus VXR,Other,Original,Suzuki Cultus VXR 2011,4,2,"Rs 1,275,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2011-iid-1095420971,White,,Suzuki
2.5,,,,"New Muslim Town, Lahore",Islamabad,,Local,,Sonata,Sedan,Original,Hyundai Sonata 2.5,,,"Rs 10,100,000",https://www.olx.com.pk/item/hyundai-sonata-25-iid-1095414875,Black,,Hyundai
2.5,,,,"New Muslim Town, Lahore",Islamabad,,Local,,Sonata,Sedan,Original,Hyundai Sonata 2.5,,,"Rs 10,100,000",https://www.olx.com.pk/item/hyundai-sonata-25-iid-1095414875,Black,,Hyundai
GLS,,,,"New Muslim Town, Lahore",Punjab,,Local,,Elantra,Sedan,Original,Hyundai Elantra GLS 2.0,,,"Rs 6,175,000",https://www.olx.com.pk/item/hyundai-elantra-gls-20-iid-1095414533,White,,Hyundai
GLS,,,,"New Muslim Town, Lahore",Punjab,,Local,,Elantra,Sedan,Original,Hyundai Elantra GLS 2.0,,,"Rs 6,175,000",https://www.olx.com.pk/item/hyundai-elantra-gls-20-iid-1095414533,White,,Hyundai
crow,,,,"New Garden Town, Lahore",,,Imported,,Margalla,Convertible,Original,Suzuki Margalla 1994,5,,"Rs 650,000",https://www.olx.com.pk/item/suzuki-margalla-1994-iid-1095413417,Green,,Suzuki
crow,,,,"New Garden Town, Lahore",,,Imported,,Margalla,Convertible,Original,Suzuki Margalla 1994,5,,"Rs 650,000",https://www.olx.com.pk/item/suzuki-margalla-1994-iid-1095413417,Green,,Suzuki
VXR 1000CC,,,,"Gaddafi Stadium, Lahore",Lahore,,Local,,Alto,Small city car,Original,Suzuki Alto 2007,4,3,"Rs 1,120,000",https://www.olx.com.pk/item/suzuki-alto-2007-iid-1095412640,White,,Suzuki
VXR 1000CC,,,,"Gaddafi Stadium, Lahore",Lahore,,Local,,Alto,Small city car,Original,Suzuki Alto 2007,4,3,"Rs 1,120,000",https://www.olx.com.pk/item/suzuki-alto-2007-iid-1095412640,White,,Suzuki
sigma 4,,,,"New Muslim Town, Lahore",Karachi,,Imported,,Fortuner Sigma,SUV,Original,Toyota Fortuner Sigma 2018,,3,"Rs 12,700,000",https://www.olx.com.pk/item/toyota-fortuner-sigma-2018-iid-1095410730,Burgundy,,Toyota
sigma 4,,,,"New Muslim Town, Lahore",Karachi,,Imported,,Fortuner Sigma,SUV,Original,Toyota Fortuner Sigma 2018,,3,"Rs 12,700,000",https://www.olx.com.pk/item/toyota-fortuner-sigma-2018-iid-1095410730,Burgundy,,Toyota
pick up,,,,"Garden Town, Lahore",Lahore,,Imported,,Safari,Pickup,Original,forland,,1,"Rs 1,725,000",https://www.olx.com.pk/item/forland-iid-1095405788,White,,JW Forland
pick up,,,,"Garden Town, Lahore",Lahore,,Imported,,Safari,Pickup,Original,forland,,1,"Rs 1,725,000",https://www.olx.com.pk/item/forland-iid-1095405788,White,,JW Forland
,,,,"Old Muslim Town, Lahore",Lahore,,Local,,Cultus VXR,Hatchback,Original,Suzuki Cultus VXR 2016,4,3,"Rs 1,850,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2016-iid-1095405471,White,,Suzuki
,,,,"Old Muslim Town, Lahore",Lahore,,Local,,Cultus VXR,Hatchback,Original,Suzuki Cultus VXR 2016,4,3,"Rs 1,850,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2016-iid-1095405471,White,,Suzuki
1998,,,,"Garden Town - Abu Bakar Block, Lahore",Lahore,,Imported,,Corolla 2.0 D,Sedan,Original,Toyota Corolla SE Limited 2D,4,2,"Rs 1,520,000",https://www.olx.com.pk/item/toyota-corolla-se-limited-2d-iid-1094399788,Black,,Toyota
1998,,,,"Garden Town - Abu Bakar Block, Lahore",Lahore,,Imported,,Corolla 2.0 D,Sedan,Original,Toyota Corolla SE Limited 2D,4,2,"Rs 1,520,000",https://www.olx.com.pk/item/toyota-corolla-se-limited-2d-iid-1094399788,Black,,Toyota
,,,,"Rehmanpura (Harbanspura), Lahore",Lahore,,Local,,Wagon R,Small city car,Original,Suzuki Wagon R 2018,5,,"Rs 2,150,000",https://www.olx.com.pk/item/suzuki-wagon-r-2018-iid-1095204702,Grey,,Suzuki
,,,,"Rehmanpura (Harbanspura), Lahore",Lahore,,Local,,Wagon R,Small city car,Original,Suzuki Wagon R 2018,5,,"Rs 2,150,000",https://www.olx.com.pk/item/suzuki-wagon-r-2018-iid-1095204702,Grey,,Suzuki
2014,,,,"New Garden Town, Lahore",Lahore,,Local,,Civic Prosmetic,Sedan,Original,Honda Civic Prosmetic 2014,4,2,"Rs 3,600,000",https://www.olx.com.pk/item/honda-civic-prosmetic-2014-iid-1095186270,White,,Honda
2014,,,,"New Garden Town, Lahore",Lahore,,Local,,Civic Prosmetic,Sedan,Original,Honda Civic Prosmetic 2014,4,2,"Rs 3,600,000",https://www.olx.com.pk/item/honda-civic-prosmetic-2014-iid-1095186270,White,,Honda
VXR,,,,"New Muslim Town, Lahore",Punjab,,Local,,Alto,Small city car,Original,Suzuki Alto 2022,4,1,"Rs 2,485,000",https://www.olx.com.pk/item/suzuki-alto-2022-iid-1095325307,Grey,,Suzuki
VXR,,,,"New Muslim Town, Lahore",Punjab,,Local,,Alto,Small city car,Original,Suzuki Alto 2022,4,1,"Rs 2,485,000",https://www.olx.com.pk/item/suzuki-alto-2022-iid-1095325307,Grey,,Suzuki
,,,,"Shuja Road, Lahore",Lahore,,Imported,,Corolla Axio,Sedan,Original,Toyota Corolla Axio 2007,5,3,"Rs 2,680,000",https://www.olx.com.pk/item/toyota-corolla-axio-2007-iid-1095299367,Silver,,Toyota
,,,,"Shuja Road, Lahore",Lahore,,Imported,,Corolla Axio,Sedan,Original,Toyota Corolla Axio 2007,5,3,"Rs 2,680,000",https://www.olx.com.pk/item/toyota-corolla-axio-2007-iid-1095299367,Silver,,Toyota
1.6 black,,,,"Muslim Town, Lahore",,,Local,,Corolla Altis,Sedan,Original,Toyota Corolla Altis 2018 1.6 black,5,,"Rs 4,500,000",https://www.olx.com.pk/item/toyota-corolla-altis-2018-16-black-iid-1095187974,Black,,Toyota
1.6 black,,,,"Muslim Town, Lahore",,,Local,,Corolla Altis,Sedan,Original,Toyota Corolla Altis 2018 1.6 black,5,,"Rs 4,500,000",https://www.olx.com.pk/item/toyota-corolla-altis-2018-16-black-iid-1095187974,Black,,Toyota
wagon r fa,,,,"Garden Town, Lahore",Unregistered,,Imported,,Wagon R,Hatchback,Original,Suzuki Wagon R fa 2023 import bumper to bumper genuine,5,1,"Rs 3,250,000",https://www.olx.com.pk/item/suzuki-wagon-r-2021-iid-1095025681,Silver,,Suzuki
wagon r fa,,,,"Garden Town, Lahore",Unregistered,,Imported,,Wagon R,Hatchback,Original,Suzuki Wagon R fa 2023 import bumper to bumper genuine,5,1,"Rs 3,250,000",https://www.olx.com.pk/item/suzuki-wagon-r-2021-iid-1095025681,Silver,,Suzuki
thailand 3000cc,,,,"New Garden Town, Lahore",Islamabad,,Imported,,Hilux,Pickup,Original,Toyota Hilux 2007/2011 Thailand,4,,"Rs 4,875,000",https://www.olx.com.pk/item/toyota-hilux-20072011-iid-1092966622,Silver,,Toyota
thailand 3000cc,,,,"New Garden Town, Lahore",Islamabad,,Imported,,Hilux,Pickup,Original,Toyota Hilux 2007/2011 Thailand,4,,"Rs 4,875,000",https://www.olx.com.pk/item/toyota-hilux-20072011-iid-1092966622,Silver,,Toyota
2006,,,,"Muslim Town, Lahore",Lahore,,Imported,,Life,Hatchback,Original,Honda Life 2011,4,2,"Rs 1,560,000",https://www.olx.com.pk/item/honda-life-2011-iid-1095037127,Silver,,Honda
2006,,,,"Muslim Town, Lahore",Lahore,,Imported,,Life,Hatchback,Original,Honda Life 2011,4,2,"Rs 1,560,000",https://www.olx.com.pk/item/honda-life-2011-iid-1095037127,Silver,,Honda
2015,,,,"Muslim Town, Lahore",Lahore,,Imported,,Dayz,Hatchback,Original,Nissan Dayz 2015,5,,"Rs 2,250,000",https://www.olx.com.pk/item/nissan-dayz-2015-iid-1094025171,Silver,,Nissan
2015,,,,"Muslim Town, Lahore",Lahore,,Imported,,Dayz,Hatchback,Original,Nissan Dayz 2015,5,,"Rs 2,250,000",https://www.olx.com.pk/item/nissan-dayz-2015-iid-1094025171,Silver,,Nissan
2009,,,,"Wahdat Colony, Lahore",Lahore,,Local,,Mehran VX,Other,Original,Suzuki Mehran VX 2009,4,2,"Rs 730,000",https://www.olx.com.pk/item/suzuki-mehran-vx-2009-iid-1095433238,Blue,,Suzuki
2009,,,,"Wahdat Colony, Lahore",Lahore,,Local,,Mehran VX,Other,Original,Suzuki Mehran VX 2009,4,2,"Rs 730,000",https://www.olx.com.pk/item/suzuki-mehran-vx-2009-iid-1095433238,Blue,,Suzuki
EFI,,,,"New Muslim Town, Lahore",Lahore,,Local,,Cultus VXR,Other,Original,Suzuki Cultus VXR 2011,4,2,"Rs 1,275,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2011-iid-1095420971,White,,Suzuki
EFI,,,,"New Muslim Town, Lahore",Lahore,,Local,,Cultus VXR,Other,Original,Suzuki Cultus VXR 2011,4,2,"Rs 1,275,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2011-iid-1095420971,White,,Suzuki
2.5,,,,"New Muslim Town, Lahore",Islamabad,,Local,,Sonata,Sedan,Original,Hyundai Sonata 2.5,,,"Rs 10,100,000",https://www.olx.com.pk/item/hyundai-sonata-25-iid-1095414875,Black,,Hyundai
2.5,,,,"New Muslim Town, Lahore",Islamabad,,Local,,Sonata,Sedan,Original,Hyundai Sonata 2.5,,,"Rs 10,100,000",https://www.olx.com.pk/item/hyundai-sonata-25-iid-1095414875,Black,,Hyundai
GLS,,,,"New Muslim Town, Lahore",Punjab,,Local,,Elantra,Sedan,Original,Hyundai Elantra GLS 2.0,,,"Rs 6,175,000",https://www.olx.com.pk/item/hyundai-elantra-gls-20-iid-1095414533,White,,Hyundai
GLS,,,,"New Muslim Town, Lahore",Punjab,,Local,,Elantra,Sedan,Original,Hyundai Elantra GLS 2.0,,,"Rs 6,175,000",https://www.olx.com.pk/item/hyundai-elantra-gls-20-iid-1095414533,White,,Hyundai
crow,,,,"New Garden Town, Lahore",,,Imported,,Margalla,Convertible,Original,Suzuki Margalla 1994,5,,"Rs 650,000",https://www.olx.com.pk/item/suzuki-margalla-1994-iid-1095413417,Green,,Suzuki
crow,,,,"New Garden Town, Lahore",,,Imported,,Margalla,Convertible,Original,Suzuki Margalla 1994,5,,"Rs 650,000",https://www.olx.com.pk/item/suzuki-margalla-1994-iid-1095413417,Green,,Suzuki
VXR 1000CC,,,,"Gaddafi Stadium, Lahore",Lahore,,Local,,Alto,Small city car,Original,Suzuki Alto 2007,4,3,"Rs 1,120,000",https://www.olx.com.pk/item/suzuki-alto-2007-iid-1095412640,White,,Suzuki
VXR 1000CC,,,,"Gaddafi Stadium, Lahore",Lahore,,Local,,Alto,Small city car,Original,Suzuki Alto 2007,4,3,"Rs 1,120,000",https://www.olx.com.pk/item/suzuki-alto-2007-iid-1095412640,White,,Suzuki
sigma 4,,,,"New Muslim Town, Lahore",Karachi,,Imported,,Fortuner Sigma,SUV,Original,Toyota Fortuner Sigma 2018,,3,"Rs 12,700,000",https://www.olx.com.pk/item/toyota-fortuner-sigma-2018-iid-1095410730,Burgundy,,Toyota
sigma 4,,,,"New Muslim Town, Lahore",Karachi,,Imported,,Fortuner Sigma,SUV,Original,Toyota Fortuner Sigma 2018,,3,"Rs 12,700,000",https://www.olx.com.pk/item/toyota-fortuner-sigma-2018-iid-1095410730,Burgundy,,Toyota
pick up,,,,"Garden Town, Lahore",Lahore,,Imported,,Safari,Pickup,Original,forland,,1,"Rs 1,725,000",https://www.olx.com.pk/item/forland-iid-1095405788,White,,JW Forland
pick up,,,,"Garden Town, Lahore",Lahore,,Imported,,Safari,Pickup,Original,forland,,1,"Rs 1,725,000",https://www.olx.com.pk/item/forland-iid-1095405788,White,,JW Forland
,,,,"Old Muslim Town, Lahore",Lahore,,Local,,Cultus VXR,Hatchback,Original,Suzuki Cultus VXR 2016,4,3,"Rs 1,850,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2016-iid-1095405471,White,,Suzuki
,,,,"Old Muslim Town, Lahore",Lahore,,Local,,Cultus VXR,Hatchback,Original,Suzuki Cultus VXR 2016,4,3,"Rs 1,850,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2016-iid-1095405471,White,,Suzuki
Old Version,,,,"Shah Jamal, Lahore",Chishtian Mandi,,Local,,Mehran VXR,Small city car,Original,Suzuki Mehran VXR 1989,5,1,"Rs 470,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-1989-iid-1095393225,White,,Suzuki
Old Version,,,,"Shah Jamal, Lahore",Chishtian Mandi,,Local,,Mehran VXR,Small city car,Original,Suzuki Mehran VXR 1989,5,1,"Rs 470,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-1989-iid-1095393225,White,,Suzuki
cuore automatic,,,,"Garden Town, Lahore",Lahore,,Local,,Cuore,Sedan,Original,Daihatsu Cuore 2006,5,2,"Rs 1,095,000",https://www.olx.com.pk/item/daihatsu-cuore-2006-iid-1095391121,White,,Daihatsu
cuore automatic,,,,"Garden Town, Lahore",Lahore,,Local,,Cuore,Sedan,Original,Daihatsu Cuore 2006,5,2,"Rs 1,095,000",https://www.olx.com.pk/item/daihatsu-cuore-2006-iid-1095391121,White,,Daihatsu
,,,,"Rehmanpura (Ferozpur Road), Lahore",Lahore,,Local,,Khyber,Small city car,Duplicate,Suzuki Khyber 1995,4,3,"Rs 445,000",https://www.olx.com.pk/item/suzuki-khyber-1995-iid-1095378018,Green,,Suzuki
,,,,"Rehmanpura (Ferozpur Road), Lahore",Lahore,,Local,,Khyber,Small city car,Duplicate,Suzuki Khyber 1995,4,3,"Rs 445,000",https://www.olx.com.pk/item/suzuki-khyber-1995-iid-1095378018,Green,,Suzuki
,,,,"Shah Jamal, Lahore",Lahore,,Local,,Civic Oriel,Sedan,Original,Honda Civic Oriel 2018,4,1,"Rs 4,980,000",https://www.olx.com.pk/item/honda-civic-oriel-2018-iid-1094180672,White,,Honda
,,,,"Shah Jamal, Lahore",Lahore,,Local,,Civic Oriel,Sedan,Original,Honda Civic Oriel 2018,4,1,"Rs 4,980,000",https://www.olx.com.pk/item/honda-civic-oriel-2018-iid-1094180672,White,,Honda
,,,,"EME Society, Lahore",Lahore,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2018 (Red Meter),,,"Rs 5,335,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2018-red-meter-iid-1095299811,Grey,,Honda
,,,,"EME Society, Lahore",Lahore,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2018 (Red Meter),,,"Rs 5,335,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2018-red-meter-iid-1095299811,Grey,,Honda
Automatic,,,,"EME Society, Lahore",Punjab,,Local,,Picanto,Small city car,Original,KIA Picanto 2022 Automatic (B2B),,,"Rs 3,285,000",https://www.olx.com.pk/item/kia-picanto-2022-automatic-b2b-iid-1095299333,White,,KIA
Automatic,,,,"EME Society, Lahore",Punjab,,Local,,Picanto,Small city car,Original,KIA Picanto 2022 Automatic (B2B),,,"Rs 3,285,000",https://www.olx.com.pk/item/kia-picanto-2022-automatic-b2b-iid-1095299333,White,,KIA
hev,,,,"EME Society, Lahore",Punjab,,Imported,,H6,SUV,Original,Haval H6 HEV 2024,,,"Rs 12,200,000",https://www.olx.com.pk/item/haval-h6-hev-2024-iid-1095184011,Black,,Haval
hev,,,,"EME Society, Lahore",Punjab,,Imported,,H6,SUV,Original,Haval H6 HEV 2024,,,"Rs 12,200,000",https://www.olx.com.pk/item/haval-h6-hev-2024-iid-1095184011,Black,,Haval
HEV,,,,"EME Society, Lahore",Islamabad,,Local,,H6,SUV,Original,Haval H6 2023,5,1,"Rs 11,600,000",https://www.olx.com.pk/item/haval-h6-2023-iid-1095106112,White,,Haval
HEV,,,,"EME Society, Lahore",Islamabad,,Local,,H6,SUV,Original,Haval H6 2023,5,1,"Rs 11,600,000",https://www.olx.com.pk/item/haval-h6-2023-iid-1095106112,White,,Haval
VXL AGS,,,,"EME Society, Lahore",Punjab,,Local,,Alto,Small city car,Original,Suzuki Alto 2020,5,2,"Rs 2,625,000",https://www.olx.com.pk/item/suzuki-alto-2020-iid-1095364156,White,,Suzuki
VXL AGS,,,,"EME Society, Lahore",Punjab,,Local,,Alto,Small city car,Original,Suzuki Alto 2020,5,2,"Rs 2,625,000",https://www.olx.com.pk/item/suzuki-alto-2020-iid-1095364156,White,,Suzuki
CL 7,,,,"EME Society, Lahore",Lahore,,Imported,,Accord,Sedan,Original,Honda Accord CL,4,,"Rs 2,100,000",https://www.olx.com.pk/item/honda-accord-cl-iid-1095367454,White,,Honda
CL 7,,,,"EME Society, Lahore",Lahore,,Imported,,Accord,Sedan,Original,Honda Accord CL,4,,"Rs 2,100,000",https://www.olx.com.pk/item/honda-accord-cl-iid-1095367454,White,,Honda
vxr,,,,"EME Society, Lahore",Lahore,,Local,,Cultus VXR,Hatchback,Original,Suzuki Cultus VXR 2014,4,3,"Rs 1,550,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2014-iid-1095365635,White,,Suzuki
vxr,,,,"EME Society, Lahore",Lahore,,Local,,Cultus VXR,Hatchback,Original,Suzuki Cultus VXR 2014,4,3,"Rs 1,550,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2014-iid-1095365635,White,,Suzuki
3.4 TZ-G Selection,,,,"EME Society, Lahore",Lahore,,Imported,,Prado,SUV,Original,"Prado TZ-G (7 seat, sunroof, full option}",7,,"Rs 8,800,000",https://www.olx.com.pk/item/prado-tz-g-7-seat-sunroof-full-option-iid-1095357981,Silver,,Toyota
3.4 TZ-G Selection,,,,"EME Society, Lahore",Lahore,,Imported,,Prado,SUV,Original,"Prado TZ-G (7 seat, sunroof, full option}",7,,"Rs 8,800,000",https://www.olx.com.pk/item/prado-tz-g-7-seat-sunroof-full-option-iid-1095357981,Silver,,Toyota
Honda City Aspire Prosmatec 1.5 i-VTEC,,,,"EME Society, Lahore",Lahore,,Local,,City Aspire,Sedan,Original,Honda City Aspire 1.5 Automatic 2018,5,1,"Rs 3,600,000",https://www.olx.com.pk/item/honda-city-aspire-15-automatic-2018-iid-1095344306,White,,Honda
Honda City Aspire Prosmatec 1.5 i-VTEC,,,,"EME Society, Lahore",Lahore,,Local,,City Aspire,Sedan,Original,Honda City Aspire 1.5 Automatic 2018,5,1,"Rs 3,600,000",https://www.olx.com.pk/item/honda-city-aspire-15-automatic-2018-iid-1095344306,White,,Honda
Honda Civic EXI,,,,"EME Society, Lahore",Lahore,,Imported,,Civic EXi,Sedan,Original,Honda Civic EXI,4,,"Rs 925,000",https://www.olx.com.pk/item/honda-civic-exi-iid-1093712397,Other,,Honda
Honda Civic EXI,,,,"EME Society, Lahore",Lahore,,Imported,,Civic EXi,Sedan,Original,Honda Civic EXI,4,,"Rs 925,000",https://www.olx.com.pk/item/honda-civic-exi-iid-1093712397,Other,,Honda
VXR WITH IMMOBILIZER KEY,,,,"EME Society, Lahore",Lahore,,Local,,Mehran VXR,Other,Original,Suzuki Mehran VXR 2018,4,,"Rs 1,445,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2018-iid-1095295406,White,,Suzuki
VXR WITH IMMOBILIZER KEY,,,,"EME Society, Lahore",Lahore,,Local,,Mehran VXR,Other,Original,Suzuki Mehran VXR 2018,4,,"Rs 1,445,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2018-iid-1095295406,White,,Suzuki
,,,,"EME Society, Lahore",Lahore,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2018,5,,"Rs 3,425,000",https://www.olx.com.pk/item/honda-city-ivtec-2018-iid-1095294662,Grey,,Honda
,,,,"EME Society, Lahore",Lahore,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2018,5,,"Rs 3,425,000",https://www.olx.com.pk/item/honda-city-ivtec-2018-iid-1095294662,Grey,,Honda
Euro II model,,,,"EME Society, Lahore",Lahore,,Local,,Mehran VXR,Sedan,Original,Suzuki Mehran VXR 2018,5,,"Rs 1,390,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2018-iid-1093960218,White,,Suzuki
Euro II model,,,,"EME Society, Lahore",Lahore,,Local,,Mehran VXR,Sedan,Original,Suzuki Mehran VXR 2018,5,,"Rs 1,390,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-2018-iid-1093960218,White,,Suzuki
Toyota revo v 2022,,,,"EME Society, Lahore",Punjab,,Local,,Hilux,Pickup,Original,Toyota Hilux 2022,5,1,"Rs 12,800,000",https://www.olx.com.pk/item/toyota-hilux-2022-iid-1095235298,White,,Toyota
Toyota revo v 2022,,,,"EME Society, Lahore",Punjab,,Local,,Hilux,Pickup,Original,Toyota Hilux 2022,5,1,"Rs 12,800,000",https://www.olx.com.pk/item/toyota-hilux-2022-iid-1095235298,White,,Toyota
,,,,"EME Society, Lahore",Punjab,,Imported,,HS,SUV,Original,MG HS B2B Genuine,,,"Rs 6,550,000",https://www.olx.com.pk/item/mg-hs-b2b-genuine-iid-1085976310,White,Automatic air conditioning,MG
